name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mandya,2023-01-29,30,14.5,22.5,29.1,14.5,22.1,11.1,52.8,0,0,0,,0,0,38.9,25.9,79.3,1012.2,54.3,15.6,264.5,22.8,9,10,2023-01-29 6:48:30,2023-01-29 18:22:37,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-30,29,16.8,23.1,28.8,16.8,23.2,15.5,64.3,0.1,100,4.17,rain,0,0,35.6,18.4,78.1,1013.3,72.2,15.1,196.3,17,9,10,2023-01-30 6:48:25,2023-01-30 18:23:03,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43289099999,43291099999,remote,VOMY"
Mandya,2023-01-31,29,18.5,23.3,29.1,18.5,23.4,15.9,65.6,0,0,0,,0,0,33.1,16.9,58.7,1013.5,74.1,14.2,197.8,17,8,10,2023-01-31 6:48:19,2023-01-31 18:23:29,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-02-01,30,16.7,23.6,28.8,16.7,23.3,11.9,50.4,0,0,0,,0,0,24.1,22.3,61.1,1013,75.8,15.7,239.4,20.7,9,10,2023-02-01 6:48:12,2023-02-01 18:23:54,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-02-02,28,16.9,23,27.1,16.9,22.8,10.9,49.3,0,0,0,,0,0,36,24.1,68.6,1013.5,86.7,15.4,239.5,20.6,9,10,2023-02-02 6:48:03,2023-02-02 18:24:18,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-02-03,25.7,18.1,22.3,25.7,18.1,22.3,15.1,64.2,0,0,0,,0,0,30.6,18.4,84.6,1013.8,89.3,14.8,198.7,17.2,9,10,2023-02-03 6:47:54,2023-02-03 18:24:42,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-02-04,31,20.6,25.3,29.8,20.6,25,13.7,50.8,0,0,0,,0,0,31.3,18.4,80.3,1013.5,46.7,14.6,252.6,21.7,9,10,2023-02-04 6:47:43,2023-02-04 18:25:05,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43291099999,remote,VOMY"
Mandya,2023-02-05,32,18.3,24.6,30.1,18.3,24,10,43.6,0,0,0,,0,0,34.2,22.3,83.5,1012.8,28.1,17.6,281.5,24.2,10,10,2023-02-05 6:47:32,2023-02-05 18:25:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-02-06,32.2,17.8,24.2,30.1,17.8,23.6,8.6,40.5,0,0,0,,0,0,15.1,14.8,85,1013,68.7,18,274.7,23.7,9,10,2023-02-06 6:47:19,2023-02-06 18:25:50,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,VOMY"
Mandya,2023-02-07,32,17.3,24.7,30.9,17.3,24.4,10.6,42.1,0,0,0,,0,0,8.6,9.4,87.8,1012.9,39.4,15.8,284.8,24.6,10,10,2023-02-07 6:47:06,2023-02-07 18:26:11,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-08,31,18.3,24.7,30.4,18.3,24.3,11.9,46.9,0,0,0,,0,0,24.1,22.3,75.5,1013.2,47.2,14.5,281.7,24.3,10,10,2023-02-08 6:46:51,2023-02-08 18:26:32,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-02-09,32.3,17.8,24.4,30.3,17.8,24,11.3,46.3,0,0,0,,0,0,37.8,22.3,74.6,1013.4,72.4,16.5,287.5,24.9,10,10,2023-02-09 6:46:35,2023-02-09 18:26:52,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-10,31,17.2,24.3,29.2,17.2,23.7,8.9,42,0,0,0,,0,0,42.5,25.9,76.2,1015,82.8,15.1,269.8,23.4,9,10,2023-02-10 6:46:19,2023-02-10 18:27:11,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-11,31,16.8,24.1,29.1,16.8,23.6,7.6,37,0,0,0,,0,0,22,16.6,66.9,1015.2,90.7,14.9,281.9,24.3,10,10,2023-02-11 6:46:01,2023-02-11 18:27:30,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-12,32,17.5,24.8,29.9,17.5,24.1,7.3,35.7,0,0,0,,0,0,39.6,22.3,73.9,1015.3,64.6,15.4,284.7,24.6,10,10,2023-02-12 6:45:43,2023-02-12 18:27:49,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY,43263099999"
Mandya,2023-02-13,32,16.9,24.7,31.5,16.9,24.1,6.5,33.5,0,0,0,,0,0,44.6,27.7,77.3,1015,27.9,15.9,297.2,25.8,10,10,2023-02-13 6:45:23,2023-02-13 18:28:06,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-14,32,16.6,24,30.3,16.6,23.4,6.5,35.3,0,0,0,,0,0,19.4,16.6,71,1014.7,23.1,17,301.5,26.1,10,10,2023-02-14 6:45:03,2023-02-14 18:28:24,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-15,32.5,16.3,23.9,30.4,16.3,23.3,6.1,34.4,0,0,0,,0,0,37.8,20.5,65,1013.3,2.4,16.5,302.2,26.1,10,10,2023-02-15 6:44:42,2023-02-15 18:28:40,0.83,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-16,32.6,16.5,23.9,30.2,16.5,23.3,6.7,37,0,0,0,,0,0,33.8,24.1,76.4,1013.3,7.1,17.6,304,26.3,10,10,2023-02-16 6:44:20,2023-02-16 18:28:56,0.86,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-17,31.1,16.5,23.8,29.3,16.5,23.2,7.8,41,0,0,0,,0,0,37.1,18.4,75,1014.2,25.9,16.2,304.3,26.3,10,10,2023-02-17 6:43:57,2023-02-17 18:29:11,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-18,32,17,24.2,30,17,23.6,8.1,38.4,0,0,0,,0,0,37.1,14.8,62.1,1014.4,6,16.3,299.3,26,10,10,2023-02-18 6:43:33,2023-02-18 18:29:26,0.93,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-19,31,17.1,24.3,29.5,17.1,23.9,10.1,42.6,0,0,0,,0,0,12.2,14.8,98.4,1014.5,2.1,15.9,299.7,26,10,10,2023-02-19 6:43:08,2023-02-19 18:29:40,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,VOMY"
Mandya,2023-02-20,32,17.6,24.7,30.7,17.6,24.4,12,47.8,0,0,0,,0,0,13.7,13,67.6,1014.7,9.1,15.7,299.5,26.1,10,10,2023-02-20 6:42:43,2023-02-20 18:29:54,0,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-21,32,18.1,25,30.5,18.1,24.6,9.8,40.3,0,0,0,,0,0,24.8,14.8,73.4,1014.7,4.2,16.1,305.5,26.3,10,10,2023-02-21 6:42:17,2023-02-21 18:30:07,0.03,Clear,Clear conditions throughout the day.,clear-day,"43289099999,remote,VOMY"
Mandya,2023-02-22,32,17.3,24.8,29.8,17.3,24.1,7.5,35.8,0,0,0,,0,0,36.7,24.1,77.3,1014.6,0.7,16.3,310.3,26.8,10,10,2023-02-22 6:41:50,2023-02-22 18:30:19,0.06,Clear,Clear conditions throughout the day.,clear-day,"remote,VOMY"
Mandya,2023-02-23,32,16.2,24.3,29.7,16.2,23.6,6,35.3,0,0,0,,0,0,29.9,22.3,70.3,1014.5,7.5,15.8,314.3,27.1,10,10,2023-02-23 6:41:22,2023-02-23 18:30:31,0.1,Clear,Clear conditions throughout the day.,clear-day,"remote,VOMY"
Mandya,2023-02-24,32,16.6,24.3,30.3,16.6,23.7,6.6,36.2,0,0,0,,0,0,40.7,18.4,72.5,1014.9,16.2,16.7,314.1,27.2,10,10,2023-02-24 6:40:53,2023-02-24 18:30:43,0.13,Clear,Clear conditions throughout the day.,clear-day,"43289099999,43291099999,remote,VOMY"
Mandya,2023-02-25,33,16.7,24.7,30.6,16.7,24,5,31.8,0,0,0,,0,0,40.7,22.3,73.5,1016.4,5.2,16.3,317.9,27.6,10,10,2023-02-25 6:40:24,2023-02-25 18:30:54,0.16,Clear,Clear conditions throughout the day.,clear-day,"43289099999,remote,VOMY"
